Var1_1,Var1_2,s
0.4270576,-1.205741,BrC=CC1=CC=CC=C1
0.225507,-1.213944,C(=O)O[C@@](C)(CC[C@]([H])1C(C)(C)[C@H]2C3)[C@@]13CC[C@H]2C
0.3924282,-1.331462,C(C)(C)C1=CC=C(C=C1)C(CO)C
0.5781722,-1.369118,C(CCCCC)C=1C=CC(=NC1)C
0.3473862,-1.489934,C/C(C(OCC)=O)=C\C(C)C
0.3832777,-1.528119,C/C(C1CCC(C)=CC1)=C\CC=C(C)C
0.2688238,-1.318729,C/C(C=O)=C\C1=CC=CC=C1
0.2901967,-0.955402,C/C(CC/C=C(C)/C=O)=C\C/C=C(C)/C=C
0.5827048,-1.287586,C/C(CC/C=C(C)/C=O)=C\CCC(C=C)=C
0.360176,-1.274394,C/C(CCC1=CC=CC=C1)=C/C#N
0.1823592,-1.091872,C/C(CCC=C(C)C)=C/C=C
0.2870818,-1.217104,C/C(CCC=C(C)C)=C/CO
0.2562473,-1.280829,C/C(CCC=C(C)C)=C/COC(C)=O
0.2145783,-1.317179,C/C(CCC=C(C)C)=C\C=C
0.3160622,-1.514674,C/C(CCC=C(C)C)=C\CCC(C)OC(C)=O
0.1809274,-1.469857,C/C(CCC=C(C)C)=C\COC(C)=O
0.1624161,-1.460854,C/C(CCC=C(C)C)=C\COC(CC1=CC=CC=C1)=O
0.2232146,-1.362901,C/C(CCC=C(C)C)=C\COC=O
0.2291323,-1.051586,C/C/1=C/CC(C)(C)/C=C\\CC2(C)C(CC1)O2
0.2706197,-1.070992,C/C1=C\CC(C)(C)/C=C/C/C(C)=C/CC1
0.6458827,-1.017263,C/C1=C\CC/C(C)=C/CC(C(C)C)(O)CC/C(C)=C/CC1
0.3040314,-1.387651,C/C=C(C(OCC)=O)\C
0.22896,-1.382367,C/C=C(C(OCC1=CC=CC=C1)=O)\C
0.2836257,-1.340663,C/C=C(C(OCCC(C)C)=O)\C
0.3343355,-1.415244,C/C=C(C(OCCCCCC)=O)\C
0.3189079,-1.047372,C/C=C(C)/C=C/C=C(C)C
0.5360364,-1.212789,C/C=C/C1=CC=C(OC)C=C1
0.3906721,-1.006831,C/C=C/C1=CC=C(OCC2=CC=CC=C2)C(OC)=C1
0.5878347,-1.084255,C/C=C/C1=CC=C(OCC=C(C)C)C=C1
0.3981794,-1.267797,C/C=C/CCCCCCCC(OC)=O
0.3273287,-1.374816,C/C=C/SC
0.1750221,-1.460864,C/C=C\C(C=C(OC)C(OC)=C1)=C1OC
0.1701244,-1.194115,C/C=C\C1=CC=C(OC)C(OC)=C1
0.3150321,-1.293098,C/C=C\CCC=O
0.2684433,-1.324144,C/C=C\CCCO
0.4233961,-1.270103,C1(=CC=CC=C1)C(CCC=C)=O
0.5013799,-1.362539,C1(=CC=CC=C1)C=CC(=O)OCCCCC
0.3055684,-1.161812,C1(C=CC=C2)=C2C=CC=C1
